,title,price,rating
0,think and grow rich (the original 1937 edition),Rs. 449,(764)
1,Lost Islamic History (Updated Edition),"Rs. 1,079",(113)
2,"Rich Dad, Poor Dad by Robert T. Kiyosaki",Rs. 295,(555)
3,Jannat Kay Pattay Urdu novel by Nemra nimra Ahmed Best selling urdu reading book,Rs. 659,(818)
4,Think And Grow Rich in black Cover,Rs. 269,(94)
5,(Cat and Mouse Duet ) Haunting Adeline / _Hunting Adeline by H.D. Carlton set of 2 books,Rs. 875,(58)
6,Peer E Kamil (SAW) Novel By Umera Ahmed Best selling urdu reading book,Rs. 649,(579)
7,Simple Trading Book I  Simple Trading Book,"Rs. 1,499",(22)
8,"Rich Dad, Poor Dad by Robert T. Kiyosaki",Rs. 259,(100)
9,World Times The Political World Map Edited by Dr Munawar Sabir,Rs. 250,(57)
10,Aab-E-Hayat urdu novel by Umera Ahmad Aab-E-Hayat urdu novel By Umaira Ahmed Aab E Hayat By Umaira Ahmed,Rs. 899,(216)
11,The Psychology of Money by Morgan Housel,Rs. 295,(90)
12,Shayad By Jon Elia in urdu Poetry Book Best Selling Urdu Poetry Novel,Rs. 429,(368)
13,"Rich Dad, Poor Dad / Atomic Habits /Think and Grow Rich ( Combo Deal )",Rs. 999,(140)
14,Namal by Nimra Ahmed,"Rs. 1,499",(20)
15,verity by Colleen Hoover,Rs. 199,(41)
16,Think and Grow Rich by Napoleon Hill,Rs. 249,(43)
17,Atomic Habits Book by James Clear,Rs. 295,(334)
18,It Ends with Us by Colleen Hoover,Rs. 249,(276)
19,Crypto Charts Patterns Notes l Charts Patterns. Forr All Market Traders,Rs. 450,(18)
20,it end with us by Collen hover,Rs. 199,(42)
21,Haunting Adeline Book by H. D. Carlton,Rs. 449,(41)
22,Main Anmol Novel by Nimra Ahmed / Ahmad (Ma Anmol) Anmool Anmoul Anmul Nimra Ahmed,Rs. 899,(292)
23,Namal - ??? Urdu novel by Nemra Ahmed Nimra Ahmed Best selling urdu reading book (1190 Pages),"Rs. 1,499",(395)
24,how to win friends & influence people (the original 1936 edition),Rs. 449,(331)
25,the art of war (readings classics),Rs. 225,(334)
26,Classics Trading book Patterns Book In Urdu with 100 % Accuracy l Trading Book in Urdu For All Market Traders,"Rs. 1,020",(20)
27,Peer E Kamil Urdu Book By Umera Ahmad,Rs. 759,(5)
28,Yani By Jon Elia in urdu Poetry Original Book,Rs. 399,(145)
29,Think and Grow Rich,Rs. 249,(29)
30,Getting Over You leslie B,Rs. 399,(18)
31,a study in scarlet: a sherlock holmes novel (readings classics),Rs. 269,(138)
32,La Hasil Novel By Umaira Ahmad Pakistan's Best selling Urdu Reading Book,Rs. 299,(291)
33,Lekin /???? By Jon Elia in urdu Poetry Original Book,Rs. 399,(140)
34,DARK PSYCHOLOGY SECRETS by Emilie STANTON,Rs. 299,(34)
35,The concise 48 laws of power by Robert Greene,Rs. 349,(4)
36,It Start with Us by Colleen Hoover,Rs. 270,(43)
37,21 Lessons for the 21st Century by Yuval Noah Harari,Rs. 345,(19)
38,Gumaan / ???? By Jon Elia in urdu Poetry Original Book,Rs. 489,(167)
39,Hurf Say Lafz Tak Novel By Umaira Ahmad Hurf Harf Se Lafz Tak By Umera Ahmed / Umaira Ahmad,Rs. 279,(168)
40,think and grow rich (the original 1937 edition),Rs. 449,(764)
41,Lost Islamic History (Updated Edition),"Rs. 1,079",(113)
42,"Rich Dad, Poor Dad by Robert T. Kiyosaki",Rs. 295,(555)
43,Jannat Kay Pattay Urdu novel by Nemra nimra Ahmed Best selling urdu reading book,Rs. 659,(818)
44,Think And Grow Rich in black Cover,Rs. 269,(94)
45,(Cat and Mouse Duet ) Haunting Adeline / _Hunting Adeline by H.D. Carlton set of 2 books,Rs. 875,(58)
46,Peer E Kamil (SAW) Novel By Umera Ahmed Best selling urdu reading book,Rs. 649,(579)
47,Simple Trading Book I  Simple Trading Book,"Rs. 1,499",(22)
48,"Rich Dad, Poor Dad by Robert T. Kiyosaki",Rs. 259,(100)
49,World Times The Political World Map Edited by Dr Munawar Sabir,Rs. 250,(57)
50,Aab-E-Hayat urdu novel by Umera Ahmad Aab-E-Hayat urdu novel By Umaira Ahmed Aab E Hayat By Umaira Ahmed,Rs. 899,(216)
51,The Psychology of Money by Morgan Housel,Rs. 295,(90)
52,Shayad By Jon Elia in urdu Poetry Book Best Selling Urdu Poetry Novel,Rs. 429,(368)
53,"Rich Dad, Poor Dad / Atomic Habits /Think and Grow Rich ( Combo Deal )",Rs. 999,(140)
54,Namal by Nimra Ahmed,"Rs. 1,499",(20)
55,verity by Colleen Hoover,Rs. 199,(41)
56,Think and Grow Rich by Napoleon Hill,Rs. 249,(43)
57,Atomic Habits Book by James Clear,Rs. 295,(334)
58,It Ends with Us by Colleen Hoover,Rs. 249,(276)
59,Crypto Charts Patterns Notes l Charts Patterns. Forr All Market Traders,Rs. 450,(18)
60,it end with us by Collen hover,Rs. 199,(42)
61,Haunting Adeline Book by H. D. Carlton,Rs. 449,(41)
62,Main Anmol Novel by Nimra Ahmed / Ahmad (Ma Anmol) Anmool Anmoul Anmul Nimra Ahmed,Rs. 899,(292)
63,Namal - ??? Urdu novel by Nemra Ahmed Nimra Ahmed Best selling urdu reading book (1190 Pages),"Rs. 1,499",(395)
64,how to win friends & influence people (the original 1936 edition),Rs. 449,(331)
65,the art of war (readings classics),Rs. 225,(334)
66,Classics Trading book Patterns Book In Urdu with 100 % Accuracy l Trading Book in Urdu For All Market Traders,"Rs. 1,020",(20)
67,Peer E Kamil Urdu Book By Umera Ahmad,Rs. 759,(5)
68,Yani By Jon Elia in urdu Poetry Original Book,Rs. 399,(145)
69,Think and Grow Rich,Rs. 249,(29)
70,Getting Over You leslie B,Rs. 399,(18)
71,a study in scarlet: a sherlock holmes novel (readings classics),Rs. 269,(138)
72,La Hasil Novel By Umaira Ahmad Pakistan's Best selling Urdu Reading Book,Rs. 299,(291)
73,Lekin /???? By Jon Elia in urdu Poetry Original Book,Rs. 399,(140)
74,DARK PSYCHOLOGY SECRETS by Emilie STANTON,Rs. 299,(34)
75,The concise 48 laws of power by Robert Greene,Rs. 349,(4)
76,It Start with Us by Colleen Hoover,Rs. 270,(43)
77,21 Lessons for the 21st Century by Yuval Noah Harari,Rs. 345,(19)
78,Gumaan / ???? By Jon Elia in urdu Poetry Original Book,Rs. 489,(167)
79,Hurf Say Lafz Tak Novel By Umaira Ahmad Hurf Harf Se Lafz Tak By Umera Ahmed / Umaira Ahmad,Rs. 279,(168)
